,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
6615,f,s,n,f,f,f,c,n,b,t,k,s,p,p,w,o,e,w,v,p
860,f,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p
433,b,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
2369,x,f,g,t,n,f,c,b,w,t,s,s,g,g,w,o,p,k,y,d
609,f,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,v,u
6293,f,s,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
2791,x,y,e,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,y,d
6281,x,s,e,f,y,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
6114,f,y,e,f,f,f,c,n,b,t,k,s,p,p,w,o,e,w,v,d
669,x,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
5436,x,y,u,f,n,f,c,n,p,e,s,f,w,w,w,o,f,h,y,d
2362,x,y,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,y,d
4103,f,y,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d
1494,x,f,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,a,g
7954,b,f,w,f,n,f,w,b,w,e,s,k,w,w,w,t,p,w,n,g
7353,f,y,p,t,n,f,c,b,w,e,s,s,w,w,w,t,p,w,y,p
3340,f,y,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d
5212,x,y,n,f,y,f,c,n,b,t,s,s,p,p,w,o,e,w,v,d
4144,x,f,g,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,y,p
5136,f,s,w,t,f,f,c,b,w,t,s,s,w,w,w,o,p,h,v,g
127,f,f,g,f,n,f,w,b,h,t,s,s,w,w,w,o,e,n,a,g
871,x,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
163,f,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,y,g
3534,f,y,n,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,v,d
4348,x,y,y,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,g
2640,f,f,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,k,y,d
7004,k,s,w,f,n,f,w,b,g,e,k,k,w,w,w,t,p,w,n,g
2691,x,y,g,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,y,d
5528,f,y,r,f,n,f,c,n,h,e,s,f,w,w,w,o,f,h,v,d
5391,f,s,w,t,f,f,c,b,p,t,s,f,w,w,w,o,p,h,v,g
4753,x,y,g,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,v,d
1632,f,s,n,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,s,g
970,f,f,n,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,s,g
3584,f,y,n,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,v,d
8017,b,f,w,f,n,f,w,b,g,e,k,k,w,w,w,t,p,w,n,g
6625,x,y,e,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,p
3137,f,y,e,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,v,d
6112,x,s,e,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,p
3802,f,y,e,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d
511,b,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
6895,x,s,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,l
4284,f,f,y,f,f,f,c,b,p,e,k,k,n,b,w,o,l,h,v,p
4957,f,f,y,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,d
3018,f,y,e,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,v,d
994,f,s,w,f,n,f,w,b,k,t,s,f,w,w,w,o,e,k,s,g
3463,x,f,w,f,c,f,w,n,n,e,s,s,w,w,w,o,p,k,s,d
1599,x,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g
1000,x,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,k,y,d
5544,k,y,e,t,n,f,c,b,w,e,s,s,w,w,w,t,e,w,c,w
2892,x,f,w,f,c,f,w,n,u,e,s,s,w,w,w,o,p,n,v,d
6720,f,s,e,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,d
6131,f,s,e,f,f,f,c,n,b,t,k,s,w,p,w,o,e,w,v,p
6975,k,f,w,f,n,f,w,b,w,e,s,s,w,w,w,t,p,w,s,g
3357,x,f,w,f,c,f,c,n,p,e,s,s,w,w,w,o,p,k,v,d
5623,k,y,n,t,n,f,c,b,e,e,s,s,e,w,w,t,e,w,c,w
2359,x,y,n,t,n,f,c,b,n,t,s,s,p,g,w,o,p,n,v,d
7348,k,s,e,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,l
1980,f,f,w,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,s,g
3015,f,y,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,v,d
6373,f,s,n,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
7735,k,s,e,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
3895,f,f,g,f,f,f,c,b,p,e,k,k,n,p,w,o,l,h,y,p
6222,k,s,e,f,f,f,c,n,b,t,s,k,w,w,w,o,e,w,v,p
3336,x,f,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d
1466,x,f,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,y,d
576,x,f,n,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
754,b,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
1534,f,f,g,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,s,g
5755,x,y,n,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,l
5152,f,y,y,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,y,p
3359,x,f,g,f,c,f,w,n,u,e,s,s,w,w,w,o,p,n,v,d
702,x,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,s,p
7768,k,y,e,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
3625,x,f,g,f,f,f,c,b,p,e,k,k,p,p,w,o,l,h,v,d
1109,x,s,n,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,a,g
8075,f,s,n,f,n,a,c,b,o,e,s,s,o,o,o,o,p,o,c,l
1578,f,f,g,f,n,f,w,b,n,t,s,f,w,w,w,o,e,k,a,g
2055,f,f,w,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g
7235,k,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,y,c,l
3946,x,f,y,f,f,f,c,b,g,e,k,k,n,p,w,o,l,h,v,d
7477,k,s,e,f,s,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
3940,x,f,y,f,f,f,c,b,h,e,k,k,b,b,w,o,l,h,v,g
886,x,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
1883,x,f,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,y,d
971,x,f,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,v,d
3653,x,f,g,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,v,p
6089,f,s,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,d
5643,f,y,y,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,v,g
7835,k,y,e,f,y,f,c,n,b,t,s,k,w,w,w,o,e,w,v,d
5469,x,y,n,f,y,f,c,n,b,t,k,k,w,p,w,o,e,w,v,d
758,b,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
6308,f,s,e,f,y,f,c,n,b,t,s,s,p,w,w,o,e,w,v,d
1845,f,f,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,s,g
7343,k,y,n,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,d
2634,x,y,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,n,v,d
964,f,s,g,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g
6158,x,y,e,f,f,f,c,n,b,t,k,k,w,w,w,o,e,w,v,d
3027,x,f,g,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,y,d
6069,f,y,n,f,y,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
6785,x,s,n,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,l
4249,x,y,g,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,d
4942,f,y,g,f,f,f,c,b,h,e,k,k,b,b,w,o,l,h,y,p
2049,f,f,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,n,y,d
7596,k,s,n,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
2174,x,y,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,y,d
4827,f,y,y,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,d
66,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
366,x,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p
3371,x,s,p,f,c,f,w,n,g,e,s,s,w,w,w,o,p,n,v,d
2832,x,f,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,n,v,d
5540,x,y,b,t,n,f,c,b,e,e,s,s,w,w,w,t,e,w,c,w
6532,f,s,e,f,f,f,c,n,b,t,s,k,p,w,w,o,e,w,v,d
6890,f,s,n,f,s,f,c,n,b,t,k,s,p,p,w,o,e,w,v,l
1149,f,s,n,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,a,g
5717,k,g,w,t,n,f,w,n,w,e,s,s,w,w,w,o,p,w,c,l
7742,k,s,n,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,p
4716,f,f,y,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,v,p
6363,f,y,n,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
7252,k,s,e,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
7209,x,s,n,f,y,f,c,n,b,t,s,s,p,p,w,o,e,w,v,l
7690,k,s,e,f,y,f,c,n,b,t,k,s,p,p,w,o,e,w,v,l
210,x,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
7969,k,s,e,f,y,f,c,n,b,t,s,k,p,w,w,o,e,w,v,p
512,x,f,w,t,a,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d
2200,x,s,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g
3294,f,f,e,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,v,d
7729,x,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,b,c,l
1537,x,s,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,s,u
7784,k,s,e,f,f,f,c,n,b,t,s,s,p,w,w,o,e,w,v,l
7774,x,s,n,f,y,f,c,n,b,t,s,k,w,w,w,o,e,w,v,p
1226,x,y,e,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,v,d
5267,x,y,n,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,l
1937,x,f,w,f,n,f,w,b,h,t,s,s,w,w,w,o,e,n,a,g
1924,x,y,e,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,v,d
419,f,f,g,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,a,g
5964,k,f,n,f,n,f,c,n,w,e,k,y,w,y,w,o,e,w,v,d
110,x,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
461,f,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,s,g
8013,b,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,b,v,l
3074,f,y,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d
2525,x,y,n,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,v,d
5784,f,y,y,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,p
7577,k,y,n,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,l
727,x,f,w,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,s,g
3247,x,y,n,t,n,f,c,b,u,t,s,s,w,g,w,o,p,n,v,d
7859,x,s,n,f,n,a,c,b,o,e,s,s,o,o,o,o,p,o,c,l
2430,f,f,e,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,v,d
3334,x,f,g,f,f,f,c,b,g,e,k,k,b,p,w,o,l,h,v,g
2099,x,s,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
5828,k,s,n,t,n,f,c,b,e,e,s,s,e,w,w,t,e,w,c,w
6245,f,y,e,f,f,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
2004,f,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,u
469,f,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p
7888,k,y,n,f,s,f,c,n,b,t,k,s,p,p,w,o,e,w,v,d
8079,k,y,e,f,f,f,c,n,b,t,s,s,w,w,w,o,e,w,v,l
4169,f,y,g,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,y,g
2878,f,f,g,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,y,d
4334,x,y,g,f,f,f,c,b,h,e,k,k,b,p,w,o,l,h,y,g
1098,x,f,g,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,s,g
7402,x,s,n,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
520,x,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
1281,x,s,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,a,g
1334,f,s,w,f,n,f,w,b,h,t,s,s,w,w,w,o,e,k,a,g
151,x,s,n,f,n,f,w,b,p,t,f,s,w,w,w,o,e,n,a,g
211,b,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
7716,k,s,n,f,n,a,c,b,o,e,s,s,o,o,o,o,p,b,c,l
745,x,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
171,b,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g
4082,f,f,y,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,v,p
4456,f,f,g,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,y,p
5793,b,y,w,t,n,f,c,b,g,e,s,s,w,w,w,t,p,r,v,g
4629,f,s,b,t,f,f,c,b,w,t,f,f,w,w,w,o,p,h,v,g
541,f,f,g,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,s,g
1471,f,s,g,f,n,f,w,b,p,t,f,f,w,w,w,o,e,k,a,g
7829,f,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,n,v,l
5114,x,s,b,t,f,f,c,b,w,t,f,s,w,w,w,o,p,h,v,g
7001,k,y,n,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
1124,f,s,y,t,a,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d
2439,f,y,e,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,v,d
4993,f,s,b,t,n,f,c,b,e,e,s,s,w,w,w,t,e,w,c,w
649,f,f,w,t,l,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d
7414,x,s,n,f,f,f,c,n,b,t,s,k,w,p,w,o,e,w,v,d
6539,f,s,e,f,y,f,c,n,b,t,s,k,p,p,w,o,e,w,v,p
3056,f,y,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,v,d
6323,f,y,n,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,p
1387,x,f,g,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,v,d
4388,f,y,y,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,v,g
3580,f,f,e,t,n,f,c,b,p,t,s,s,p,w,w,o,p,n,v,d
5428,f,s,w,t,f,f,c,b,w,t,s,s,w,w,w,o,p,h,s,g
155,x,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g
7902,k,s,n,f,y,f,c,n,b,t,s,k,p,w,w,o,e,w,v,p
1356,x,f,n,f,n,f,w,b,n,t,f,f,w,w,w,o,e,k,s,g
3654,f,y,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,v,p
6916,k,s,e,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,p
3856,f,y,g,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,v,d
7636,f,s,n,f,n,a,c,b,y,e,s,s,o,o,n,o,p,y,c,l
4428,x,f,y,f,f,f,c,b,p,e,k,k,n,b,w,o,l,h,v,g
68,x,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
7086,b,f,g,f,n,f,w,b,w,e,k,s,w,w,w,t,p,w,s,g
7545,f,y,e,f,s,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
4172,x,y,g,f,f,f,c,b,p,e,k,k,n,p,w,o,l,h,v,g
8086,k,s,n,f,n,a,c,b,n,e,s,s,o,o,n,o,p,o,v,l
1905,f,f,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
6896,x,y,e,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,p
1745,f,s,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,g
7738,k,y,n,f,s,f,c,n,b,t,k,k,w,p,w,o,e,w,v,p
7839,k,y,n,f,y,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
1915,f,y,y,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,y,g
4702,x,f,w,f,c,f,c,n,g,e,s,s,w,w,w,o,p,k,s,d
1644,f,f,w,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,s,g
4134,f,f,g,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,v,d
1751,f,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,y,p
2644,x,y,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,y,d
7106,f,y,n,f,f,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
384,x,f,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,y,d
7978,k,y,e,f,s,f,c,n,b,t,s,k,p,w,w,o,e,w,v,p
6083,f,y,n,f,s,f,c,n,b,t,s,s,p,w,w,o,e,w,v,p
7979,k,s,n,f,n,a,c,b,y,e,s,s,o,o,n,o,p,o,v,l
4792,f,f,y,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,y,d
6170,x,s,n,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
7793,k,s,n,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,p
1640,x,s,n,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,s,g
4487,x,y,g,f,f,f,c,b,p,e,k,k,p,p,w,o,l,h,v,d
5825,f,y,y,f,f,f,c,b,p,e,k,k,n,p,w,o,l,h,v,d
5849,k,s,n,t,n,f,c,b,w,e,s,s,e,e,w,t,e,w,c,w
1014,f,f,g,f,n,f,w,b,h,t,f,f,w,w,w,o,e,k,s,g
3432,x,f,g,f,f,f,c,b,g,e,k,k,n,n,w,o,l,h,v,p
3647,x,f,g,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,y,g
7226,x,s,g,f,n,f,w,b,p,e,k,s,w,w,w,t,p,w,s,g
4700,f,y,y,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,v,p
7532,x,s,w,f,n,f,w,b,p,e,s,k,w,w,w,t,p,w,n,g
3013,x,f,w,f,c,f,c,n,p,e,s,s,w,w,w,o,p,n,s,d
7669,k,y,e,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,p
5637,f,y,w,t,n,f,c,b,g,e,s,s,w,w,w,t,p,r,v,g
1575,f,s,w,f,n,f,w,b,k,t,s,f,w,w,w,o,e,k,a,g
1654,x,s,g,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,s,g
81,x,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,s,g
5422,f,y,y,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,v,d
4352,f,f,g,f,f,f,c,b,g,e,k,k,n,n,w,o,l,h,v,p
6443,x,y,e,f,s,f,c,n,b,t,s,s,p,w,w,o,e,w,v,d
581,x,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
579,x,s,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,g
7137,k,s,e,f,y,f,c,n,b,t,s,s,w,p,w,o,e,w,v,d
1492,f,s,n,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,s,g
580,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
6339,x,s,e,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,l
761,f,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,k,y,g
3898,x,f,w,f,c,f,c,n,p,e,s,s,w,w,w,o,p,n,v,d
397,x,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
7449,k,y,n,f,n,f,c,b,w,e,y,y,n,n,w,t,p,w,y,p
6474,x,s,n,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,l
894,x,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
7225,k,s,n,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
6109,x,s,n,f,f,f,c,n,b,t,s,s,p,p,w,o,e,w,v,p
3403,x,s,p,f,c,f,c,n,p,e,s,s,w,w,w,o,p,k,v,d
4346,f,f,g,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,y,g
7381,f,y,n,f,s,f,c,n,b,t,k,s,p,p,w,o,e,w,v,l
3409,f,y,n,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,v,d
4644,f,y,g,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,p
4726,x,y,g,f,f,f,c,b,g,e,k,k,b,b,w,o,l,h,v,p
6324,f,y,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,p
7390,b,s,w,f,n,f,w,b,w,e,k,k,w,w,w,t,p,w,s,g
1972,x,s,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,v,u
2694,f,f,g,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,v,d
1210,x,s,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,a,g
7440,k,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,o,v,l
2153,f,f,e,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,v,d
3407,x,y,g,t,n,f,c,b,w,t,s,s,p,w,w,o,p,k,y,d
521,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
6968,f,s,n,f,f,f,c,n,b,t,s,s,p,w,w,o,e,w,v,p
7158,b,s,g,f,n,f,w,b,g,e,s,k,w,w,w,t,p,w,n,g
4514,f,f,y,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,v,p
2042,x,f,n,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,s,g
4235,f,y,g,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,y,p
6969,k,y,e,f,f,f,c,n,b,t,k,k,p,w,w,o,e,w,v,d
4750,f,f,y,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,v,d
6635,f,s,n,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
4954,x,f,y,f,f,f,c,b,g,e,k,k,b,b,w,o,l,h,v,p
808,b,s,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
3472,f,y,g,t,n,f,c,b,u,t,s,s,g,g,w,o,p,k,y,d
5190,f,y,p,t,n,f,c,b,w,e,s,s,w,w,w,t,p,r,v,g
2584,f,f,n,t,n,f,c,b,w,t,s,s,w,g,w,o,p,n,v,d
2313,x,y,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,v,d
1590,f,s,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g
596,b,s,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
2648,x,y,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,v,d
3139,f,y,g,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,y,d
806,b,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
138,x,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,g
2738,x,f,e,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,y,d
6304,k,s,n,f,s,f,c,n,b,t,k,k,p,p,w,o,e,w,v,d
102,f,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g
1399,f,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,s,g
5093,f,y,y,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,v,d
4059,x,f,e,t,n,f,c,b,n,t,s,s,w,p,w,o,p,n,v,d
3342,f,f,g,t,n,f,c,b,u,t,s,s,g,g,w,o,p,k,v,d
4948,x,f,y,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,y,d
2673,f,f,n,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,y,d
356,f,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p
5161,x,s,b,t,f,f,c,b,p,t,f,s,w,w,w,o,p,h,v,g
3214,f,f,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,v,d
8032,x,s,n,f,f,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
3596,f,y,e,t,n,f,c,b,n,t,s,s,g,g,w,o,p,k,y,d
207,b,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
3155,f,f,g,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,y,d
1473,f,f,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,s,g
4834,k,y,n,f,n,f,w,n,w,e,f,s,w,n,w,o,e,w,v,l
3708,x,f,g,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,g
3388,x,s,w,f,c,f,w,n,n,e,s,s,w,w,w,o,p,n,v,d
1834,x,f,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d
5757,x,s,b,t,n,f,c,b,w,e,s,s,w,w,w,t,e,w,c,w
5585,x,y,e,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
5653,x,y,n,t,n,f,c,b,e,e,s,s,e,e,w,t,e,w,c,w
6795,x,y,e,f,s,f,c,n,b,t,k,k,w,w,w,o,e,w,v,l
5692,k,y,p,t,n,f,c,b,w,e,s,s,w,w,w,t,e,w,c,w
2283,f,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d
4743,x,f,y,f,f,f,c,b,g,e,k,k,b,p,w,o,l,h,v,d
1120,x,f,w,f,n,f,w,b,p,t,f,s,w,w,w,o,e,k,s,g
1162,x,f,e,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,v,d
5466,k,y,n,t,n,f,c,b,e,e,s,s,w,e,w,t,e,w,c,w
3243,x,y,y,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,y,g
7063,x,s,p,t,n,f,c,b,w,e,s,s,w,w,w,t,p,w,y,p
6235,x,s,n,f,f,f,c,n,b,t,k,s,p,p,w,o,e,w,v,p
